,Mẫu ,SL,,10S,QH,Chênh,,,,,,,,,,,,,,,,,,
 2 , Đất cây xanh nhóm ở ,"4.078,61",,,,"203,93","5,00",,,,,"203,93","0,00",1,,"0,05",  -   ,,0,,,,,
  , B6-CXO-08 ,"2.175,30",,,,"108,77","5,00",,,,,"108,77",,1,,"0,05",,,,,,,,
  , B6-CXO-09 ,"1.903,31",,,,"95,17","5,00",,,,,"95,17",,1,,"0,05",,,,,,,,
 V , B6-NOXH-05 ,"13.920,00",2,"3.240,00","3.240,00","3.623,90","26,03","3.168,72","22.181,04","19.741,13","1.542,24","25.655,64","26.892,00",1,7,"1,84","  1,00 ",546,36,,,,,
 1 , Đất chung cư cao tầng ,"7.802,43",2,"3.240,00","3.240,00","3.318,02","42,53","3.168,72","22.181,04","19.741,13","1.542,24","25.349,76","26.892,00",1,7,"3,25",  -   ,546,36,,,,,
  , B6-CC-10 ,"3.900,79",1,"1.620,00","1.620,00","1.659,01","42,53","1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,"3,25",0,273,,"290,3106706",273,273,,
  ,Tòa I3 - 8 tầng,,1,"1.620,00","1.620,00","1.620,00",,"1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,,,273,,"290,3106706",273,,,
  , B6-CC-11 ,"3.901,64",1,"1.620,00","1.620,00","1.659,02","42,52","1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,"3,25",0,273,,"290,3106706",273,273,,
  ,Tòa I3 - 8 tầng,,1,"1.620,00","1.620,00","1.620,00",,"1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,,,273,,"290,3106706",273,,,
 2 , Đất cây xanh nhóm ở ,"6.117,57",,,,"305,88","5,00",,,,,"305,88","0,00",1,,"0,05",  -   ,,0,,,,,
  , B6-CXO-10 ,"2.559,18",,,,"127,96","5,00",,,,,"127,96",,1,,"0,05",,,,,,,,
  , B6-CXO-11 ,"3.558,39",,,,"177,92","5,00",,,,,"177,92",,1,,"0,05",,,,,,,,
 VII , B6-NOXH-06 ,"6.480,21",1,"1.620,00","1.620,00","1.788,03","27,59","1.584,36","11.090,52","9.870,56","771,12","12.803,91","13.446,00",1,7,"1,98","  2,00 ",273,36,,,,,
 1 , Đất chung cư cao tầng ,"3.899,57",1,"1.620,00","1.620,00","1.659,00","42,54","1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,"3,25",  -   ,273,36,,,,,
  , B6-CC-12 ,"3.899,57",1,"1.620,00","1.620,00","1.659,00","42,54","1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,"3,25",  -   ,273,,"290,3106706",273,273,,
  ,Tòa I3 - 8 tầng,,1,"1.620,00","1.620,00","1.620,00",,"1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,,,273,,"290,3106706",273,,,
 2 , Đất cây xanh nhóm ở ,"2.580,64",,,,"129,03","5,00",,,,,"129,03",,1,,"0,05",  -   ,,0,,,,,
  , B6-CXO-12 ,"2.580,64",,,,"129,03","5,00",,,,,"129,03",,1,,"0,05",,,,,,,,
 VII , B6-NOXH-07 ,"8.520,00",1,"1.620,00","1.620,00","1.890,00","22,18","1.584,36","11.090,52","9.870,56","771,12","12.905,88","13.446,00",1,7,"1,51","  3,00 ",273,36,,,,,
